;meta[language=en]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110992000|        |panel_Mods|Mods
2110992001|        |panel_ghost_mode|Ghost Mode
2110992002|        |option_gm_health_multiplier|Enemy health modifier
2110992003|        |option_gm_damage_multiplier|Enemy damage modifier
2110992004|        |option_gm_enemies_scaling|Enemy scaling
2110992005|        |preset_value_gm_es_none|None
2110992006|        |preset_value_gm_es_upscale|Upscale
2110992007|        |preset_value_gm_es_match|Match
2110992013|        |attribute_name_frost_resistance_perc|Frost resistance
2110992014|        |attribute_name_armor_reduction_perc|Enemy damage resistance reduction
2110992015|        |attribute_name_potion_duration|Potion duration
2110992016|        |preset_value_gm_es_soft|Soft upscaling
2110992017|        |panel_common_statistics_tooltip_silver_dph_gm|Damage per hit (silver)
2110992018|        |panel_common_statistics_tooltip_steel_dph_gm|Damage per hit (steel)
2110992019|        |gm_sign_stats_channeling_damage_per_sec|Firestream damage per sec
2110992020|        |gm_sign_stats_yrden_traps|Magic Traps
2110992021|        |gm_sign_stats_yrden_damage|Magic Trap damage
2110992022|        |gm_sign_stats_alt_yrden_duration|Magic Turret duration
2110992023|        |gm_sign_stats_alt_yrden_charges|Magic Turret charges
2110992024|        |gm_sign_stats_alt_yrden_damage|Magic Turret damage
2110992025|        |gm_sign_stats_alt_quen_returned_damage|Returned damage
2110992026|        |gm_sign_stats_alt_quen_dmg_absorption|Active shield damage absorption
2110992027|        |gm_sign_stats_alt_axii_chance|Axii chance
2110992028|        |gm_combat_stats_fast_attack_power|Fast attack power
2110992029|        |gm_combat_stats_strong_attack_power|Strong attack power
2110992030|        |gm_sign_stats_quen_dmg_absorption|Damage absorption
2110992034|        |attribute_name_vsBeast_critical_hit_chance|Critical hit chance versus Beasts
2110992035|        |attribute_name_vsCursed_critical_hit_chance|Critical hit chance versus Cursed Ones
2110992036|        |attribute_name_vsDraconide_critical_hit_chance|Critical hit chance versus Draconids
2110992037|        |attribute_name_vsHuman_critical_hit_chance|Critical hit chance versus Humans
2110992038|        |attribute_name_vsHybrid_critical_hit_chance|Critical hit chance versus Hybrids
2110992039|        |attribute_name_vsInsectoid_critical_hit_chance|Critical hit chance versus Insectoids
2110992040|        |attribute_name_vsMagicals_critical_hit_chance|Critical hit chance versus Elementa
2110992041|        |attribute_name_vsNecrophage_critical_hit_chance|Critical hit chance versus Necrophages
2110992042|        |attribute_name_vsRelic_critical_hit_chance|Critical hit chance versus Relicts
2110992043|        |attribute_name_vsSpecter_critical_hit_chance|Critical hit chance versus Specters
2110992044|        |attribute_name_vsOgre_critical_hit_chance|Critical hit chance versus Ogroids
2110992045|        |attribute_name_vsVampire_critical_hit_chance|Critical hit chance versus Vampires
2110992046|        |attribute_name_vsBeast_critical_hit_damage_bonus|Critical hit power versus Beasts
2110992047|        |attribute_name_vsCursed_critical_hit_damage_bonus|Critical hit power versus Cursed Ones
2110992048|        |attribute_name_vsDraconide_critical_hit_damage_bonus|Critical hit power versus Draconids
2110992049|        |attribute_name_vsHuman_critical_hit_damage_bonus|Critical hit power versus Humans
2110992050|        |attribute_name_vsHybrid_critical_hit_damage_bonus|Critical hit power versus Hybrids
2110992051|        |attribute_name_vsInsectoid_critical_hit_damage_bonus|Critical hit power versus Insectoids
2110992052|        |attribute_name_vsMagicals_critical_hit_damage_bonus|Critical hit power versus Elementa
2110992053|        |attribute_name_vsNecrophage_critical_hit_damage_bonus|Critical hit power versus Necrophages
