;meta[language=it]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110992000|        |panel_Mods|Mods
2110992001|        |panel_ghost_mode|Ghost Mode
2110992002|        |option_gm_health_multiplier|Modificatore salute nemici
2110992003|        |option_gm_damage_multiplier|Modificatore danni nemici
2110992004|        |option_gm_enemies_scaling|Livellamento nemici
2110992005|        |preset_value_gm_es_none|Nessuno
2110992006|        |preset_value_gm_es_upscale|Aumenta livello
2110992007|        |preset_value_gm_es_match|Partita
2110992013|        |attribute_name_frost_resistance_perc|Resistenza al gelo
2110992014|        |attribute_name_armor_reduction_perc|Riduzione della resistenza ai danni del nemico
2110992015|        |attribute_name_potion_duration|Durata della pozione
2110992016|        |preset_value_gm_es_soft|Lieve aumento del livello
2110992017|        |panel_common_statistics_tooltip_silver_dph_gm|Danno per colpo (argento)
2110992018|        |panel_common_statistics_tooltip_steel_dph_gm|Danno per colpo (acciaio)
2110992019|        |gm_sign_stats_channeling_damage_per_sec|Danni fiammata continua per sec
2110992020|        |gm_sign_stats_yrden_traps|Trappole magiche
2110992021|        |gm_sign_stats_yrden_damage|Danni trappola magica
2110992022|        |gm_sign_stats_alt_yrden_duration|Durata torretta magica
2110992023|        |gm_sign_stats_alt_yrden_charges|Cariche torretta magica
2110992024|        |gm_sign_stats_alt_yrden_damage|Danni torretta magica
2110992025|        |gm_sign_stats_alt_quen_returned_damage|Ritorno danni
2110992026|        |gm_sign_stats_alt_quen_dmg_absorption|Scudo attivo assorbimento danni
2110992027|        |gm_sign_stats_alt_axii_chance|Probabilità Axii
2110992028|        |gm_combat_stats_fast_attack_power|Potenza attacco rapido
2110992029|        |gm_combat_stats_strong_attack_power|Potenza attacco potente
2110992030|        |gm_sign_stats_quen_dmg_absorption|Assorbimento danni
2110992034|        |attribute_name_vsBeast_critical_hit_chance|Probabilità colpo critico contro Bestie
2110992035|        |attribute_name_vsCursed_critical_hit_chance|Probabilità colpo critico contro Maledetti
2110992036|        |attribute_name_vsDraconide_critical_hit_chance|Probabilità colpo critico contro Draconidi
2110992037|        |attribute_name_vsHuman_critical_hit_chance|Probabilità colpo critico contro Umani
2110992038|        |attribute_name_vsHybrid_critical_hit_chance|Probabilità colpo critico contro Ibridi
2110992039|        |attribute_name_vsInsectoid_critical_hit_chance|Probabilità colpo critico contro Insettoidi
2110992040|        |attribute_name_vsMagicals_critical_hit_chance|Probabilità colpo critico contro Costrutti
2110992041|        |attribute_name_vsNecrophage_critical_hit_chance|Probabilità colpo critico contro Necrofagi
2110992042|        |attribute_name_vsRelic_critical_hit_chance|Probabilità colpo critico Ancestrali
2110992043|        |attribute_name_vsSpecter_critical_hit_chance|Probabilità colpo critico Spettri
2110992044|        |attribute_name_vsOgre_critical_hit_chance|Probabilità colpo critico Orchi
2110992045|        |attribute_name_vsVampire_critical_hit_chance|Probabilità colpo critico Vampiri
2110992046|        |attribute_name_vsBeast_critical_hit_damage_bonus|Potenza colpo critico contro Bestie
2110992047|        |attribute_name_vsCursed_critical_hit_damage_bonus|Potenza colpo critico contro Maledetti
2110992048|        |attribute_name_vsDraconide_critical_hit_damage_bonus|Potenza colpo critico contro Draconidi
2110992049|        |attribute_name_vsHuman_critical_hit_damage_bonus|Potenza colpo critico contro Umani
2110992050|        |attribute_name_vsHybrid_critical_hit_damage_bonus|Potenza colpo critico contro Ibridi
2110992051|        |attribute_name_vsInsectoid_critical_hit_damage_bonus|Potenza colpo critico contro Insettoidi
