;meta[language=br]
; id      |key(hex)|key(str)| text
2110992000|4d5f8b0c||Mods
2110992001|818b6a6e||Ghost Mode
2110992002|205aa5f5||Modificador de saúde do inimigo
2110992003|a570c302||Modificador de dano do inimigo
2110992004|be5d891f||Escalar Inimigos
2110992005|c33062be||Desligado
2110992006|cffa3a49||Escalar
2110992007|a2c796ff||Igualado
2110992008|645abb61||Modificador de saúde adicional para Chefes
2110992009|e970d86e||Modificador de dano adicional para Chefes
2110992013|cdb77880||Resistência a frio
2110992014|99a2fd83||Redução de resistência a dano inimigo
2110992015|c4ea0ecf||Duração da poção
2110992016|c332a7b0||Suave
2110992017|1662935c||Dano por acerto (Prata)
2110992018|4f1d703c||Dano por acerto (Aço)
2110992019|f38f5b36||Dano por segundo da Labareda de Fogo
2110992020|6a994712||Armadilha Mágica
2110992021|cc57bcc3||Dano da Armadilha Mágica
2110992022|60b53abe||Duração da Torre Mágica
2110992023|8594f9d5||Cargas da Torre Mágica
2110992024|1e6cbb19||Dano da Torre Mágica
2110992025|ee530dcc||Dano retornado
2110992026|e379a123||Absorção de danos com Escudo Ativo
2110992027|27282d9d||Chance de Axii
2110992028|8566fddf||Poder do Ataque Rápido
2110992029|7a3d2c04||Poder do Ataque Forte
2110992030|a3e34c39||Absorção de dano
2110992034|40aed692||Chance de Acerto Crítico contra Feras
2110992035|c8957121||Chance de Acerto Crítico contra Amaldiçoados
2110992036|79a23d6e||Chance de Acerto Crítico contra Draconídeos
2110992037|d33fe160||Chance de Acerto Crítico contra Humanos
2110992038|f261a80b||Chance de Acerto Crítico contra Híbridos
2110992039|97466e95||Chance de Acerto Crítico contra Insectoides
2110992040|4bfdf9ea||Chance de Acerto Crítico contra Elementais
2110992041|016d02ed||Chance de Acerto Crítico contra Necrófagos
2110992042|9c73a4a6||Chance de Acerto Crítico contra Relictos
2110992043|c3702fb9||Chance de Acerto Crítico contra Espectros
2110992044|cd868a1a||Chance de Acerto Crítico contra Ogroides
2110992045|42229941||Chance de Acerto Crítico contra Vampiros
2110992046|4fa6c42d||Poder de Acerto Crítico contra Feras
2110992047|df4cf77c||Poder de Acerto Crítico contra Amaldiçoados
2110992048|f7d09609||Poder de Acerto Crítico contra Draconídeos
2110992049|810bfc7b||Poder de Acerto Crítico contra Humanos
2110992050|6b0ad6e6||Poder de Acerto Crítico contra Híbridos
2110992051|6adf0df0||Poder de Acerto Crítico contra Insectoides
2110992052|0cf40585||Poder de Acerto Crítico contra Elementais
2110992053|69eb0048||Poder de Acerto Crítico contra Necrófagos
2110992054|2e15b341||Poder de Acerto Crítico contra Relictos
2110992055|17546414||Poder de Acerto Crítico contra Espectros
2110992056|b4fbb1b5||Poder de Acerto Crítico contra Ogroides
2110992057|d123879c||Poder de Acerto Crítico contra Vampiros
2110992058|c8d4450c||Redução de resistência a dano contra Feras
2110992059|4b1b4cdd||Redução de resistência a dano contra Amaldiçoados
