;meta[language=es]
; id      |key(hex)|key(str)| text
2110992000|4d5f8b0c||Mods
2110992001|818b6a6e||Ghost Mode
2110992002|205aa5f5||Modificador: Salud del enemigo
2110992003|a570c302||Modificador: Daño del enemigo
2110992004|be5d891f||Elevar el nivel de los enemigos
2110992005|c33062be||Nada
2110992006|cffa3a49||Elevar
2110992007|a2c796ff||Emparejar
2110992008|645abb61||Modificador: Salud adicional para jefes
2110992009|e970d86e||Modificador: Daño adicional para jefes
2110992013|cdb77880||Resistencia al frío
2110992014|99a2fd83||Reducción de la resistencia del enemigo
2110992015|c4ea0ecf||Duración de la poción
2110992016|c332a7b0||Elevado suave
2110992017|1662935c||Daño por golpe (Plata)
2110992018|4f1d703c||Daño por golpe (Acero)
2110992019|f38f5b36||Daño por segundo de la Corriente Ígnea
2110992020|6a994712||Cargas del Círculo de Yrden
2110992021|cc57bcc3||Daño del Círculo de Yrden
2110992022|60b53abe||Duración de la Trampa Mágica
2110992023|8594f9d5||Cargas de la Trampa Mágica
2110992024|1e6cbb19||Daño de la Trampa Mágica
2110992025|ee530dcc||Daño devuelto
2110992026|e379a123||Absorción de daño del Escudo Activo
2110992027|27282d9d||Probabilidad de Axia
2110992028|8566fddf||Poder del ataque rápido
2110992029|7a3d2c04||Poder del ataque potente
2110992030|a3e34c39||Absorción del daño
2110992034|40aed692||Probabilidad de crítico contra bestias
2110992035|c8957121||Probabilidad de crítico contra malditos
2110992036|79a23d6e||Probabilidad de crítico contra dracónidos
2110992037|d33fe160||Probabilidad de crítico contra humanoides
2110992038|f261a80b||Probabilidad de crítico contra híbridos
2110992039|97466e95||Probabilidad de crítico contra insectoides
2110992040|4bfdf9ea||Probabilidad de crítico contra constructos
2110992041|016d02ed||Probabilidad de crítico contra necrófagos
2110992042|9c73a4a6||Probabilidad de crítico contra relictos
2110992043|c3702fb9||Probabilidad de crítico contra espectros
2110992044|cd868a1a||Probabilidad de crítico contra ogroides
2110992045|42229941||Probabilidad de crítico contra vampiros
2110992046|4fa6c42d||Daño del impacto crítico contra bestias
2110992047|df4cf77c||Daño del impacto crítico contra malditos
2110992048|f7d09609||Daño del impacto crítico contra dracónidos
2110992049|810bfc7b||Daño del impacto crítico contra humanoides
2110992050|6b0ad6e6||Daño del impacto crítico contra híbridos
2110992051|6adf0df0||Daño del impacto crítico contra insectoides
2110992052|0cf40585||Daño del impacto crítico contra constructos
2110992053|69eb0048||Daño del impacto crítico contra necrófagos
2110992054|2e15b341||Daño del impacto crítico contra relictos
2110992055|17546414||Daño del impacto crítico contra espectros
2110992056|b4fbb1b5||Daño del impacto crítico contra ogroides
2110992057|d123879c||Daño del impacto crítico contra vampiros
2110992058|c8d4450c||Reducción de la resistencia al daño contra bestias
2110992059|4b1b4cdd||Reducción de la resistencia al daño contra malditos
2110992060|da69abb0||Reducción de la resistencia al daño contra dracónidos
2110992061|83b5dcfe||Reducción de la resistencia al daño contra humanoides
