;meta[language=fr]
; id      |key(hex)|key(str)| text
2110992000|4d5f8b0c||Mods
2110992001|818b6a6e||Ghost Mode
2110992002|205aa5f5||Modificateur de santé des ennemis
2110992003|a570c302||Modificateur de dégâts des ennemis
2110992004|be5d891f||Mise à niveau des ennemis
2110992005|c33062be||Aucun
2110992006|cffa3a49||Mise à niveau
2110992007|a2c796ff||Égal
2110992008|645abb61||Modificateur additionnel de santé des boss
2110992009|e970d86e||Modificateur additionnel de dégâts des boss
2110992013|cdb77880||Résistance au gel
2110992014|99a2fd83||Réduction de la résistance aux dégâts des ennemis
2110992015|c4ea0ecf||Durée de la potion
2110992016|c332a7b0||Mise à niveau légère
2110992017|1662935c||Dégâts par coup (argent)
2110992018|4f1d703c||Dégâts par coup (acier)
2110992019|f38f5b36||Dégâts par seconde de Langue de feu
2110992020|6a994712||Pièges magiques
2110992021|cc57bcc3||Dégâts des pièges magiques
2110992022|60b53abe||Durée de la tourelle magique
2110992023|8594f9d5||Charges de la tourelle magique
2110992024|1e6cbb19||Dégâts de la tourelle magique
2110992025|ee530dcc||Dégâts renvoyés
2110992026|e379a123||Absorption des dégâts par le bouclier actif
2110992027|27282d9d||Chances d'Axii
2110992028|8566fddf||Dégâts des attaques rapides
2110992029|7a3d2c04||Dégâts des attaques puissantes
2110992030|a3e34c39||Absorption des dégâts
2110992034|40aed692||Chances de coups critiques contre les bêtes
2110992035|c8957121||Chances de coups critiques contre les créatures maudites
2110992036|79a23d6e||Chances de coups critiques contre les draconides
2110992037|d33fe160||Chances de coups critiques contre les humains
2110992038|f261a80b||Chances de coups critiques contre les hybrides
2110992039|97466e95||Chances de coups critiques contre les insectoïdes
2110992040|4bfdf9ea||Chances de coups critiques contre les élémentaires
2110992041|016d02ed||Chances de coups critiques contre les nécrophages
2110992042|9c73a4a6||Chances de coups critiques contre les vestiges
2110992043|c3702fb9||Chances de coups critiques contre les spectres
2110992044|cd868a1a||Chances de coups critiques contre les ogroïdes
2110992045|42229941||Chances de coups critiques contre les vampires
2110992046|4fa6c42d||Puissance des coups critiques contre les bêtes
2110992047|df4cf77c||Puissance des coups critiques contre les créatures maudites
2110992048|f7d09609||Puissance des coups critiques contre les draconides
2110992049|810bfc7b||Puissance des coups critiques contre les humains
2110992050|6b0ad6e6||Puissance des coups critiques contre les hybrides
2110992051|6adf0df0||Puissance des coups critiques contre les insectoïdes
2110992052|0cf40585||Puissance des coups critiques contre les élémentaires
2110992053|69eb0048||Puissance des coups critiques contre les nécrophages
2110992054|2e15b341||Puissance des coups critiques contre les vestiges
2110992055|17546414||Puissance des coups critiques contre les spectres
2110992056|b4fbb1b5||Puissance des coups critiques contre les ogroïdes
2110992057|d123879c||Puissance des coups critiques contre les vampires
2110992058|c8d4450c||Réduction de la résistance aux dégâts contre les bêtes
2110992059|4b1b4cdd||Réduction de la résistance aux dégâts contre les créatures maudites
