;meta[language=pl]
; id      |key(hex)|key(str)| text
;
;Translation (in part) made by Spontan, 13-02-2020
;
2110992000|4d5f8b0c||Modyfikacje
2110992001|818b6a6e||Ghost Mode
2110992002|205aa5f5||Modyfikator Żywotności przeciwników
2110992003|a570c302||Modyfikator obrażeń przeciwników
2110992004|be5d891f||Skalowanie przeciwników
2110992005|c33062be||Nie skaluj
2110992006|cffa3a49||Powyżej poziomu Geralta
2110992007|a2c796ff||Równaj do poziomu Geralta
2110992008|645abb61||Dodatkowy modyfikator Żywotności dla bossów
2110992009|e970d86e||Dodatkowy modyfikator obrażeń dla bossów
2110992013|cdb77880||Odporność na chłód
2110992014|99a2fd83||Znosi część odporności na obrażenia u przeciwników
2110992015|c4ea0ecf||Czas trwania eliksiru
2110992016|c332a7b0||Skaluj lekko (trochę wyżej)
2110992017|1662935c||Siła Ataku (broń srebrna)
2110992018|4f1d703c||Siła Ataku (broń stalowa)
2110992019|f38f5b36||Strumień Ognia - obrażenia na sekundę
2110992020|6a994712||Limit Glifów
2110992021|cc57bcc3||Obrażenia Magicznej Pułapki
2110992022|60b53abe||Magiczna Pułapka - czas trwania
2110992023|8594f9d5||Magiczna Pułapka - ładunki
2110992024|1e6cbb19||Magiczna Pułapka - obrażenia
2110992025|ee530dcc||Odbijane obrażenia
2110992026|e379a123||Absorbcja obrażeń przez aktywą tarczę
2110992027|27282d9d||Aksji - szansa
2110992028|8566fddf||Szybki Atak - obrażenia
2110992029|7a3d2c04||Silny Atak - obrażenia
2110992030|a3e34c39||Absorbcja obrażeń
2110992034|40aed692||Szansa na trafienie krytyczne względem Bestii
2110992035|c8957121||Szansa na trafienie krytyczne względem Istot przeklętych
2110992036|79a23d6e||Szansa na trafienie krytyczne względem Drakonidów
2110992037|d33fe160||Szansa na trafienie krytyczne względem Humanoidów
2110992038|f261a80b||Szansa na trafienie krytyczne względem Hybryd
2110992039|97466e95||Szansa na trafienie krytyczne względem Insektoidów
2110992040|4bfdf9ea||Szansa na trafienie krytyczne względem Istot magicznych
2110992041|016d02ed||Szansa na trafienie krytyczne względem Trupojadów
2110992042|9c73a4a6||Szansa na trafienie krytyczne względem Reliktów
2110992043|c3702fb9||Szansa na trafienie krytyczne względem Zjaw
2110992044|cd868a1a||Szansa na trafienie krytyczne względem Ogrowatych
2110992045|42229941||Szansa na trafienie krytyczne względem Wampirów
2110992046|4fa6c42d||Obrażenia trafienia krytycznego względem Bestii
2110992047|df4cf77c||Obrażenia trafienia krytycznego względem Istot przeklętych
2110992048|f7d09609||Obrażenia trafienia krytycznego względem Drakonidów
2110992049|810bfc7b||Obrażenia trafienia krytycznego względem Humanoidów
2110992050|6b0ad6e6||Obrażenia trafienia krytycznego względem Hybryd
2110992051|6adf0df0||Obrażenia trafienia krytycznego względem Insektoidów
2110992052|0cf40585||Obrażenia trafienia krytycznego względem Istot magicznych
2110992053|69eb0048||Obrażenia trafienia krytycznego względem Trupojadów
