;meta[language=en]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110992000|        |panel_Mods|Моды
2110992001|        |panel_ghost_mode|Ghost Mode
2110992002|        |option_gm_health_multiplier|Модификатор здоровья противников
2110992003|        |option_gm_damage_multiplier|Модификатор урона противников
2110992004|        |option_gm_enemies_scaling|Уровень противников
2110992005|        |preset_value_gm_es_none|Не менять
2110992006|        |preset_value_gm_es_upscale|Поднять до уровня Геральта
2110992007|        |preset_value_gm_es_match|Выровнять с уровнем Геральта
2110992008|        |option_gm_boss_health_multiplier|Доп. модификатор здоровья для боссов
2110992009|        |option_gm_boss_damage_multiplier|Доп. модификатор урона для боссов
2110992013|        |attribute_name_frost_resistance_perc|Сопротивление урону холодом
2110992014|        |attribute_name_armor_reduction_perc|Снижение вражеского сопротивления урону
2110992015|        |attribute_name_potion_duration|Время действия эликсира
2110992016|        |preset_value_gm_es_soft|"Мягкое" масштабирование
2110992017|        |panel_common_statistics_tooltip_silver_dph_gm|Урон серебряным мечом
2110992018|        |panel_common_statistics_tooltip_steel_dph_gm|Урон стальным мечом
2110992019|        |gm_sign_stats_channeling_damage_per_sec|Урон в сек. (Огненный поток)
2110992020|        |gm_sign_stats_yrden_traps|Магические ловушки
2110992021|        |gm_sign_stats_yrden_damage|Урон Магической ловушки
2110992022|        |gm_sign_stats_alt_yrden_duration|Длительность Магической турели
2110992023|        |gm_sign_stats_alt_yrden_charges|Заряды Магической турели
2110992024|        |gm_sign_stats_alt_yrden_damage|Урон Магической турели
2110992025|        |gm_sign_stats_alt_quen_returned_damage|Возвращаемый урон
2110992026|        |gm_sign_stats_alt_quen_dmg_absorption|Поглощаемый урон (Активный щит)
2110992027|        |gm_sign_stats_alt_axii_chance|Шанс наложения
2110992028|        |gm_combat_stats_fast_attack_power|Сила быстрой атаки
2110992029|        |gm_combat_stats_strong_attack_power|Сила мощной атаки
2110992030|        |gm_sign_stats_quen_dmg_absorption|Поглощаемый урон
2110992034|        |attribute_name_vsBeast_critical_hit_chance|Шанс крит. удара против животных
2110992035|        |attribute_name_vsCursed_critical_hit_chance|Шанс крит. удара против проклятых
2110992036|        |attribute_name_vsDraconide_critical_hit_chance|Шанс крит. удара против драконидов
2110992037|        |attribute_name_vsHuman_critical_hit_chance|Шанс крит. удара против людей
2110992038|        |attribute_name_vsHybrid_critical_hit_chance|Шанс крит. удара против гибридов
2110992039|        |attribute_name_vsInsectoid_critical_hit_chance|Шанс крит. удара против инсектоидов
2110992040|        |attribute_name_vsMagicals_critical_hit_chance|Шанс крит. удара против элементалей
2110992041|        |attribute_name_vsNecrophage_critical_hit_chance|Шанс крит. удара против трупоедов
2110992042|        |attribute_name_vsRelic_critical_hit_chance|Шанс крит. удара против реликтов
2110992043|        |attribute_name_vsSpecter_critical_hit_chance|Шанс крит. удара против призраков
2110992044|        |attribute_name_vsOgre_critical_hit_chance|Шанс крит. удара против огров
2110992045|        |attribute_name_vsVampire_critical_hit_chance|Шанс крит. удара против вампиров
2110992046|        |attribute_name_vsBeast_critical_hit_damage_bonus|Сила крит. удара против животных
2110992047|        |attribute_name_vsCursed_critical_hit_damage_bonus|Сила крит. удара против проклятых
2110992048|        |attribute_name_vsDraconide_critical_hit_damage_bonus|Сила крит. удара против драконидов
2110992049|        |attribute_name_vsHuman_critical_hit_damage_bonus|Сила крит. удара против людей
2110992050|        |attribute_name_vsHybrid_critical_hit_damage_bonus|Сила крит. удара против гибридов
