;meta[language=en]
; id      |key(hex)|key(str)| text
2110992000|4d5f8b0c||Modyfikacje
2110992001|818b6a6e||Ghost Mode
2110992002|205aa5f5||Modyfikator żywotności przeciwników
2110992003|a570c302||Modyfikator siły ataku przeciwników
2110992004|be5d891f||Skalowanie przeciwników
2110992005|c33062be||Nie skaluj
2110992006|cffa3a49||Powyżej poziomu Geralta
2110992007|a2c796ff||Równaj do poziomu Geralta
2110992008|        |option_gm_boss_health_multiplier|Additional health modifier for bosses
2110992009|        |option_gm_boss_damage_multiplier|Additional damage modifier for bosses
2110992013|cdb77880||Odporność na chłód
2110992014|99a2fd83||Znosi część odporności na obrażenia przeciwnika
2110992015|c4ea0ecf||Czas działania eliksiru
2110992016|c332a7b0||Skaluj lekko (trochę wyżej)
2110992017|1662935c||Siła ataku (broń srebrna)
2110992018|4f1d703c||Siła ataku (broń stalowa)
2110992019|f38f5b36||Strumień Ognia - obrażenia na sekundę
2110992020|6a994712||Limit glifów
2110992021|cc57bcc3||Obrażenia Magicznej Pułapki
2110992022|60b53abe||Magiczna Pułapka - czas działania
2110992023|8594f9d5||Magiczna Pułapka - ładunki
2110992024|1e6cbb19||Magiczna Pułapka - obrażenia
2110992025|ee530dcc||Odbijane obrażenia
2110992026|e379a123||Absorbcja obrażeń przez aktywą tarczę
2110992027|27282d9d||Aksji - szansa
2110992028|8566fddf||Szybki Atak - obrażenia
2110992029|7a3d2c04||Silny Atak - obrażenia
2110992030|a3e34c39||Absorbcja obrażeń
2110992034|40aed692||Szansa na trafienie krytyczne względem Bestii
2110992035|c8957121||Szansa na trafienie krytyczne względem Istot przeklętych
2110992036|79a23d6e||Szansa na trafienie krytyczne względem Draconidów
2110992037|d33fe160||Szansa na trafienie krytyczne względem Humanoidów
2110992038|f261a80b||Szansa na trafienie krytyczne względem Hybryd
2110992039|97466e95||Szansa na trafienie krytyczne względem Insektoidów
2110992040|4bfdf9ea||Szansa na trafienie krytyczne względem Istot magicznych
2110992041|016d02ed||Szansa na trafienie krytyczne względem Trupojadów
2110992042|9c73a4a6||Szansa na trafienie krytyczne względem Reliktów
2110992043|c3702fb9||Szansa na trafienie krytyczne względem Zjaw
2110992044|cd868a1a||Szansa na trafienie krytyczne względem Ogrowatych
2110992045|42229941||Szansa na trafienie krytyczne względem Wampirów
2110992046|4fa6c42d||Obrażenia trafienia krytycznego względem Bestii
2110992047|df4cf77c||Obrażenia trafienia krytycznego względem Istot przeklętych
2110992048|f7d09609||Obrażenia trafienia krytycznego względem Draconidów
2110992049|810bfc7b||Obrażenia trafienia krytycznego względem Humanoidów
2110992050|6b0ad6e6||Obrażenia trafienia krytycznego względem Hybryd
2110992051|6adf0df0||Obrażenia trafienia krytycznego względem Insektoidów
2110992052|0cf40585||Obrażenia trafienia krytycznego względem Istot magicznych
2110992053|69eb0048||Obrażenia trafienia krytycznego względem Trupojadów
2110992054|2e15b341||Obrażenia trafienia krytycznego względem Reliktów
2110992055|17546414||Obrażenia trafienia krytycznego względem Zjaw
2110992056|b4fbb1b5||Obrażenia trafienia krytycznego względem Ogrowatych
2110992057|d123879c||Obrażenia trafienia krytycznego względem Wampirów
2110992058|c8d4450c||Znosi część odporności na obrażenia Bestii
2110992059|4b1b4cdd||Znosi część odporności na obrażenia Istot przeklętych
2110992060|da69abb0||Znosi część odporności na obrażenia Draconidów
2110992061|83b5dcfe||Znosi część odporności na obrażenia Humanoidów
2110992062|5da28e33||Znosi część odporności na obrażenia Hybryd
2110992063|ca4463e9||Znosi część odporności na obrażenia Insektoidów
2110992064|d14fa0b4||Znosi część odporności na obrażenia Istot magicznych
2110992065|8b85ee91||Znosi część odporności na obrażenia Trupojadów
2110992066|0ecc4f78||Znosi część odporności na obrażenia Reliktów
2110992067|64e2d545||Znosi część odporności na obrażenia Zjaw
2110992068|111c7e84||Znosi część odporności na obrażenia Ogrowatych
2110992069|5a3c18bd||Znosi część odporności na obrażenia Wampirów
2110992070|d25344ee||Obrażenia względem Humanoidów
2110992071|da7e5ba4||Każdy element lekkiego rynsztunku dodaje $S$% do szansy na trafienie krytyczne oraz $S$% do obrażeń krytycznych.
2110992072|da7e5ba6||Każdy element ciężkiego rynsztunku dodaje $S$% do maksymalnej żywotności oraz $S$ do generowania punktów Adrenaliny bronią białą.
2110992073|163a8e78||Zwiększa szansę na podpalenie o $I$%.
2110992074|3c4a6af2||Silny Atak - obrażenia
2110992075|5806ca6e||Silny Atak - obrażenia trafienia krytycznego
2110992076|69d8dd89||Szybki Atak - obrażenia trafienia krytycznego
2110992077|89dfeac9||Szybki Atak - szansa na trafienie krytyczne
2110992078|bc4297c4||Silny Atak - szansa na trafienie krytyczne
2110992079|d23992f7||Szybki Atak - obrażenia
2110992080|2e06698e||Silny Atak - obrażenia trafienia krytycznego
2110992081|3375c4a9||Szybki Atak - obrażenia trafienia krytycznego
2110992082|73d42fa9||Szybki Atak - szansa na trafienie krytyczne
2110992083|b08bd7d2||Silny Atak - obrażenia
2110992084|c7b0b7d7||Szybki Atak - obrażenia
2110992085|fa3924a4||Silny Atak - szansa na trafienie krytyczne
2110992090|6c1d3ba3||Bomby są rzucane bez żadnego opóźnienia i mogą zadawać obrażenia krytyczne. każda część zestawu zwiększa szansę trafienia krytycznego bombą o $S$% (obecna premia: $S$%) i obrażenia trafienia krytycznego bombą o $S$% (obecna premia: $S$%).
2110992091|85e8fbd1||Każda część zestawu zwiększa efektywność oleju nałożonego na miecz o $S$% (obecna premia: $S$%).
2110992092|1f70c024||Szybki Atak - dodaje $S$% szans na spowodowanie efektu krwawienia.
2110992093|71d0c5a6||Alternatywny tryb Znaku:<br>Zadaje $I$ punktów obrażeń przeciwnikom w zasięgu $I$ metrów. Obrażenia zależą od Mocy Znaku (aktualne: $I$). Niszczy pociski w obszarze działania. Czas trwania $I$s, ładunki Magicznej Pułapki - $I$.
2110992094|71d0c5a5||Alternatywny tryb Znaku:<br>Zadaje $I$ punktów obrażeń przeciwnikom w zasięgu $I$ metrów. Obrażenia zależą od Mocy Znaku (aktualne: $I$). Niszczy pociski w obszarze działania. Czas trwania $I$s, ładunki Magicznej Pułapki - $I$.
2110992095|163a8e72||Alternatywny tryb Znaku:<br>Zadaje $I$ punktów obrażeń przeciwnikom w zasięgu $I$ metrów. Obrażenia zależą od Mocy Znaku (aktualne: $I$). Niszczy pociski w obszarze działania. Czas trwania $I$s, ładunki Magicznej Pułapki - $I$.
2110992096|b1173fc9||Znak Aksji może objąć dwóch przeciwników. Czas działania pomniejszony o $I$%.
2110992097|c8467d3c||Znak Aksji może objąć dwóch przeciwników. Czas działania pomniejszony o $I$%.
2110992098|c8467d3d||Znak Aksji może objąć dwóch przeciwników. Czas działania bez zmian.
2110992099|1f70c022||Każdy punkt Adrenaliny dodaje $I$% do szansy natychmiastowego zabicia przeciwnika. Nie łączy się z Młynkiem.
2110992102|1f70c021||Strong attack that goes through blocks, armor and shields. Increases weapon damage by $S$% per each Stamina point spent and by $S$% per each Adrenaline Point ($S$% max). Increases critical hit chance by $S$%.
2110992103|1f70c020||Wirujący atak uderzający wszystkich przeciwników w zasięgu. Dodaje $S$% do obrażenia silnego ataku za każdego napastinka (max. $S$%). Używa $S$ punktów wytrzymałości na sekundę. Jeżeli jest obecny, punkt adrenaliny jest użyty do zmniejszenia obrażeń otrzymanych podczas ataku o $S$%.
2110992104|064143d3||Wirujący atak uderzający wszystkich przeciwników w zasięgu. Dodaje $S$% do obrażenia silnego ataku za każdego napastinka (max. $S$%). Używa $S$ punktów wytrzymałości na sekundę. Jeżeli jest obecny, punkt adrenaliny jest użyty do zmniejszenia obrażeń otrzymanych podczas ataku o $S$%.
2110992105|6f2a6f0f||Przyrost punktów Adrenaliny
